标题链接,ID,名称,字段1,评分,点赞,投币,收藏,分享,播放/弹幕/追番
https://www.bilibili.com/bangumi/play/ss1586?from_spmid=666.14.0.0,BV18x411P7fJ,Fate/stay night [Unlimited Blade Works] 第一季,"奇幻 / 热血,·,2014,·,已完结, 全13话,·",9.5分,4.7万,3.3万,2444,2.1万,2.3亿播放  ·  543.8万弹幕  ·  700.4万系列追番
https://www.bilibili.com/bangumi/play/ss26284?from_spmid=666.14.0.0,BV1z4411G7oB,盾之勇者成名录,"小说改 / 奇幻 / 魔法 / 架空,·,2019,·,已完结, 全25话,·",7.4分,3.7万,2.9万,846,2661,3.1亿播放  ·  414.9万弹幕  ·  636万系列追番
https://www.bilibili.com/bangumi/play/ss28615?from_spmid=666.14.0.0,BV1aE411D7fp,刀剑神域 爱丽丝篇 异界战争,"小说改 / 穿越 / 科幻 / 架空,·,2019,·,已完结, 全13话,·",9.1分,4.7万,5.5万,4470,1075,1.1亿播放  ·  112.7万弹幕  ·  877.6万系列追番
https://www.bilibili.com/bangumi/play/ss184?from_spmid=666.14.0.0,BV1yx411Q7dv,NO GAME NO LIFE 游戏人生,"奇幻 / 智斗 / 架空 / 穿越,·,2014,·,已完结, 全12话,·",9.8分,32.7万,50.8万,4.4万,22.4万,1.2亿播放  ·  336.2万弹幕  ·  517.6万追番
https://www.bilibili.com/bangumi/play/ss29310?from_spmid=666.14.0.0,BV1zJ411L7Vv,异度侵入 ID:INVADED,"原创 / 科幻 / 推理,·,2020,·,已完结, 全13话,·",9.8分,14.3万,13.8万,3万,1.1万,1.4亿播放  ·  157.2万弹幕  ·  515万追番
https://www.bilibili.com/bangumi/play/ss6446?from_spmid=666.14.0.0,BV1Yx411u7KA,干物妹！小埋R,"萌系 / 搞笑 / 日常 / 漫画改,·,2017,·,已完结, 全12话,·",9.5分,10.6万,11万,1.9万,6.3万,1.7亿播放  ·  377.4万弹幕  ·  827.5万系列追番
https://www.bilibili.com/bangumi/play/ss38035?from_spmid=666.14.0.0,BV1vK4y1Q729,岸边露伴 一动也不动,"漫画改 / 奇幻 / 战斗,·,2021,·,已完结, 全4话,·",9.8分,23.5万,5.3万,1.3万,2.7万,5433万播放  ·  13.8万弹幕  ·  1024.2万系列追番
https://www.bilibili.com/bangumi/play/ss4185?from_spmid=666.14.0.0,BV1tJ411R7bY,JOJO的奇妙冒险 星尘远征军,"漫画改 / 奇幻 / 战斗 / 冒险,·,2014,·,已完结, 全24话,·",9.8分,44.8万,35.1万,3.3万,7万,2.8亿播放  ·  537.8万弹幕  ·  1024.2万系列追番
https://www.bilibili.com/bangumi/play/ss41417?from_spmid=666.14.0.0,BV1nt4y1x7m8,夏日重现,"漫画改 / 奇幻 / 战斗 / 推理,·,2022,·,已完结, 全25话,·",9.8分,53.6万,23.1万,11.9万,1.3万,2.6亿播放  ·  143.8万弹幕  ·  509.9万追番
https://www.bilibili.com/bangumi/play/ss28320?from_spmid=666.14.0.0,BV1Vt411K7Vc,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,"游戏改 / 穿越 / 奇幻 / 战斗,·,2019,·,已完结, 全22话,·",9.5分,10.1万,13.6万,1.8万,3.2万,1.9亿播放  ·  177.3万弹幕  ·  599.5万系列追番
https://www.bilibili.com/bangumi/play/ss36166?from_spmid=666.14.0.0,BV1rv411x7R9,五等分的新娘∬,"漫画改 / 校园 / 恋爱,·,2021,·,已完结, 全12话,·",9.7分,29.2万,18.5万,3万,1.1万,9924.8万播放  ·  103.8万弹幕  ·  595.5万系列追番
https://www.bilibili.com/bangumi/play/ss38214?from_spmid=666.14.0.0,BV1a54y1j79q,致不灭的你,"漫画改 / 冒险 / 催泪 / 奇幻,·,2021,·,已完结, 全20话,·",9.5分,37.4万,16.7万,5.6万,4546,1.5亿播放  ·  152.6万弹幕  ·  523.7万系列追番
https://www.bilibili.com/bangumi/play/ss31150?from_spmid=666.14.0.0,BV1aJ411j7t7,Re：从零开始的异世界生活 Memory Snow(雪之回忆),"小说改 / 穿越 / 奇幻 / 日常,·,2019,·,已完结, 全1话,·",9.7分,13.1万,11.6万,1.1万,2万,1807万播放  ·  26.6万弹幕  ·  1019.4万系列追番
https://www.bilibili.com/bangumi/play/ss31151?from_spmid=666.14.0.0,BV12e411s7bN,Re：从零开始的异世界生活 冰结之绊,"小说改 / 奇幻 / 战斗 / 冒险,·,2019,·,已完结, 全1话,·",9.5分,9.5万,8.1万,6429,1.6万,1697.4万播放  ·  12.8万弹幕  ·  1019.4万系列追番
